Fem,SSID,Masc,SSID,Definition
abbess,09773548-n,abbot,09773735-n,the superior of an abbey of monks
accoucheuse,10334494-n,accoucheur,10389398-n,a physician specializing in obstetrics
actress,09787123-n,actor,09784701-n,a theatrical performer
adulteress,09792353-n,adulterer,09792169-n,someone who commits adultery or fornication
adventuress,09792592-n,adventurer,09629201-n,a person who enjoys taking risks
agony aunt,09798902-n,agony uncle,NEW,a male newspaper columnist who answers questions and offers advice on personal problems to people who write in
air hostess,10675314-n,air host,NEW,a male steward on an airplane
airwoman,09846007-n,airman,09845606-n,someone who operates an aircraft
alumna,09805779-n,alumnus,09805779-n,a person who has received a degree from a school (high school or college or university)
ambassadress,09807319-n,ambassador,09806975-n,a diplomat of the highest rank; accredited as representative from one country to another
assemblywoman,09833893-n,assemblyman,09833786-n,someone who is a member of a legislative assembly
authoress,09843467-n,author,10813654-n,writes (books or stories or articles or the like) professionally (for pay)
aviatrix,09846007-n,aviator,09845606-n,someone who operates an aircraft
baby mama,90019431-n,baby papa,NEW,the father of at least one of your children
barmaid,09859090-n,barman,09860576-n,an employee who mixes and serves alcoholic drinks at a bar
blonde,09879912-n,blond,09879912-n,a person with fair skin and hair
bride,09894084-n,groom,10167455-n,a man who has recently been married
bride,09894191-n,groom,10167555-n,a man participant in his own marriage ceremony
bridesmaid,09894328-n,groomsman,10167685-n,a male attendant of the bridegroom at a wedding
bride-to-be,10105739-n,groom-to-be,10105638-n,a man who is engaged to be married
businesswoman,09902067-n,businessman,09901459-n,a person engaged in commercial or industrial business (especially an owner or executive)
chairwoman,10488547-n,chairman,10488547-n,the officer who presides at the meetings of an organization
charwoman,09930684-n,charman,NEW,a human male employed to do housework
coiffeuse,09954304-n,coiffeur,09954232-n,a man hairdresser
conductress,09972754-n,conductor,09972531-n,the person who collects fares on a public conveyance
coquette,09984664-n,coquet,NEW,a seductive man who uses his sex appeal to exploit women
councilwoman,09964410-n,councilman,09964156-n,a man who is a council member
countess,09989932-n,count,09988748-n,a nobleman (in various countries) having rank equal to a British earl
countrywoman,09990577-n,countryman,09990493-n,a man from your own country
countrywoman,09990803-n,countryman,09990665-n,a man who lives in the country and has country ways
courtesan,09971872-n,courtier,09991369-n,an attendant at the court of a sovereign
cover girl,09991988-n,cover boy,NEW,a very pretty boy who works as a photographer's model
cowgirl,09992952-n,cowboy,09992191-n,a hired hand who tends cattle and performs other duties on horseback
duchess,10058134-n,duke,10058503-n,a nobleman (in various countries) of high rank
empress,10073247-n,emperor,10072812-n,the male ruler of an empire
enchantress,10075105-n,enchanter,10074893-n,a sorcerer or magician
fangirl,90009741-n,fanboy,NEW,"A male fan who is obsessive about a particular subject (especially, someone or something in popular entertainment media)"
first lady,10112563-n,first gentleman,NEW,the husband of a chief executive
flower girl,10117611-n,flower boy,NEW,a young boy who carries flowers in a (wedding) procession
forelady,10124752-n,foreman,10124256-n,a man who is foreperson of a jury
forewoman,10124657-n,foreman,10123978-n,a person who exercises control over workers
forewoman,10124752-n,foreman,10124256-n,a man who is foreperson of a jury
foundress,10127787-n,founder,10127072-n,a person who founds or establishes some institution
Frenchwoman,09727801-n,Frenchman,09727801-n,a person of French nationality
gentlewoman,10008828-n,gentleman,10146810-n,a man of refinement
giantess,09513887-n,giant,09511841-n,an imaginary figure of superhuman size and strength; appears in folklore and fairy tales
girl Friday,10150104-n,boy Friday,NEW,a male assistant who has a range of duties
girlfriend,10150206-n,boyfriend,09890770-n,a man who is the lover of a man or woman
golf widow,10157018-n,golf widower,NEW,a husband who is left alone much of the time because his wife is playing golf
headmistress,10183990-n,headmaster,10183826-n,presiding officer of a school
heiress,10188740-n,heir,10188177-n,a person who is entitled by law or by the terms of a will to inherit the estate of another
heroine,10192976-n,hero,10192757-n,(classical mythology) a being of great strength and courage celebrated for bold exploits; often the offspring of a mortal and a god
heroine,10192976-n,hero,05938456-n,the principal character in a play or movie or novel or poem
heroine,10193081-n,hero,10344679-n,a person distinguished by exceptional courage and nobility and strength
hostess,10206678-n,host,10206393-n,the owner or manager of an inn
hostess,10207110-n,host,10206749-n,a person who invites guests to a social event (such as a party in his or her own home) and who is responsible for them while they are there
housemother,10208678-n,housefather,10207988-n,a man in charge of children in an institution
kept woman,10343410-n,kept man,NEW,an adulterous man; a man who has an ongoing extramarital sexual relationship with a woman
kinswoman,10256766-n,kinsman,10256643-n,a male relative
landlady,10264853-n,landlord,10264933-n,a landowner who leases to others
maid of honor,09894328-n,best man,09870873-n,the principal groomsman at a wedding
manageress,10309123-n,manager,10034684-n,someone who controls resources and expenditures
materfamilias,10322243-n,paterfamilias,10426510-n,the male head of family or tribe
matriarch,10322243-n,patriarch,10426510-n,the male head of family or tribe
millionairess,10338265-n,millionaire,10549130-n,a person whose material wealth is valued at more than a million dollars
mistress,10343292-n,master,10318314-n,directs the work of others
mistress,10579268-n,master,10183826-n,presiding officer of a school
mother figure,10352757-n,father figure,10101439-n,a man who takes over all the functions of the real father
murderess,10358892-n,murderer,10358420-n,a criminal who commits homicide (who performs the unlawful premeditated killing of another human being)
Muslimah,10361304-n,Muslim,09701687-n,a believer in or follower of Islam
needlewoman,10053137-n,needleman,NEW,a man who makes or mends dresses
noblewoman,10262488-n,nobleman,10291374-n,a titled peer of the realm
poetess,10466829-n,poet,10463768-n,a writer of poems (the term is usually reserved for writers of good poetry)
policewoman,10468986-n,policeman,10468557-n,a member of a police force
poster girl,10476780-n,poster boy,10476440-n,a male poster child
postmistress,10479253-n,postmaster,10479141-n,the person in charge of a post office
priestess,10491155-n,priest,10490835-n,a person who performs religious duties and ceremonies in a non-Christian religion
princess,10493649-n,prince,10492384-n,a male member of a royal family other than the sovereign (especially the son of a sovereign)
prophetess,10503384-n,prophet,10503115-n,an authoritative person who divines the future
proprietress,10478085-n,proprietor,10408623-n,someone who owns (is legal possessor of) a business
queen,10254721-n,king,10254721-n,a competitor who holds a preeminent position
queen,10518940-n,king,10251212-n,a male sovereign; ruler of a kingdom
queen,10519442-n,king,NEW,the husband or widower of a queen
queen,10519802-n,king,14459136-n,preeminence in a particular category or group or field
salesgirl,10567976-n,salesman,10568094-n,a man salesperson
schoolgirl,10579031-n,schoolboy,10578620-n,a boy attending school
schoolmistress,10579268-n,schoolmaster,10579424-n,any person (or institution) who acts as an educator
sculptress,10586321-n,sculptor,10585500-n,an artist who creates sculptures
seamstress,10053137-n,seamster,10709060-n,a person whose occupation is making and altering garments
seductress,10594831-n,seductor,NEW,a man who seduces
sempstress,10053137-n,sempster,NEW,a man who makes or mends dresses
sheikha,10607927-n,sheik,10607765-n,the leader of an Arab village or family
showgirl,09940359-n,showboy,NEW,a man who dances in a chorus line
songstress,10643799-n,songster,10643672-n,a person who sings with skill
sorceress,10645902-n,sorcerer,10645222-n,one who practices magic or sorcery
spinster,10655886-n,bachelor,09849169-n,a man who has never been married
spokeswoman,10658132-n,spokesman,10657708-n,a male spokesperson
sportswoman,10658320-n,sportsman,10658320-n,someone who engages in sports
stewardess,10675314-n,steward,10675033-n,an attendant on an airplane
supermom,10695873-n,superdad,NEW,an informal term for a father who can combine childcare and full-time employment
taskmistress,10711901-n,taskmaster,10711765-n,someone who imposes hard or continuous work
temptress,10075218-n,tempter,10719401-n,a person who tempts others
trophy wife,10750477-n,trophy husband,NEW,a husband who is an attractive young man; seldom the first husband of an affluent older woman
viscountess,10775594-n (new synset),viscount,10775816-n,(in various countries) a son or younger brother or a count
viscountess,10775594-n (new synset),viscount,10775483-n,a British peer who ranks below an earl and above a baron
washerwoman,10788856-n,washerman,10788752-n,operates industrial washing machine
widow,10799960-n,widower,10800182-n,a man whose wife is dead especially one who has not remarried
yachtswoman,10821647-n,yachtsman,10821647-n,a person who owns or sails a yacht
yellow woman,80570446-n,yellow man,86740061-n,offensive term for an Asian man
young lady,10149362-n,young man,10823891-n,a teenager or a young adult male
young woman,10149362-n,young man,10823891-n,a teenager or a young adult male
gay woman,10274662-n,gay man,83837368-n,a homosexual man
Irishwoman,09734699-n,Irishman,09734561-n,a man who is a native or inhabitant of Ireland
Scotchwoman,09750074-n,Scotchman,09749875-n,a native or inhabitant of Scotland
Scotswoman,09750074-n,Scotsman,09749875-n,a native or inhabitant of Scotland
saleslady,10567976-n,salesman,10568094-n,a man salesperson
saleswoman,10567976-n,salesman,10568094-n,a man salesperson
selectwoman,10596270-n,selectman,10596128-n,a male elected member of a board of officials who run New England towns
slovenly woman,10628714-n,slovenly man,NEW,a dirty untidy man
stateswoman,10671950-n,statesman,10669601-n,a man who is a respected leader in national or international affairs
stunt woman,10686285-n,stunt man,10686285-n,a stand-in for movie stars to perform dangerous stunts
Black woman,84388951-n,Black man,84362169-n,a man who is Black
beggarwoman,09866752-n,beggarman,09866675-n,a man who is a beggar
bionic woman,10005508-n,bionic man,10005508-n,a human being whose body has been taken over in whole or in part by electromechanical devices
bondswoman,09884685-n,bondsman,09884685-n,someone who signs a bond as surety for someone else
bondswoman,09884568-n,bondsman,09884374-n,a male bound to serve without wages
bondswoman,09884474-n,bondsman,09884297-n,a male slave
bondwoman,09884568-n,bondman,09884374-n,a male bound to serve without wages
bondwoman,09884474-n,bondman,09884297-n,a male slave
oarswoman,10388794-n,oarsman,10388619-n,someone who rows a boat
old woman,10396720-n,old man,10395205-n,a man who is very old
outdoorswoman,10406453-n,outdoorsman,10406317-n,"a person who spends time outdoors (e.g., hunting or fishing)"
honest woman,10202966-n,honest man,NEW,a husband who has married a woman with whom he has been living for some time
horsewoman,10205762-n,horseman,10205412-n,a man skilled in equitation
jurywoman,10247948-n,juryman,10247948-n,someone who serves (or waits to be called to serve) on a jury
danseuse,09853980-n,danseur,10010944-n,a male ballet dancer who is the partner of a ballerina
disagreeable woman,10759293-n,disagreeable man,NEW,a man who is an unpleasant person
point woman,10468029-n,point man,10467731-n,someone who is the forefront of an important enterprise
poseuse,10475636-n,poseur,10475481-n,a person who habitually pretends to be something he is not
unmarried woman,10759169-n,unmarried man,09849169-n,a man who has never been married
unpleasant woman,10759293-n,unpleasant man,NEW,a man who is an unpleasant person
freedwoman,10129754-n,freedman,10129754-n,a person who has been freed from slavery
freewoman,10130792-n,freeman,10130792-n,a person who is not a serf or a slave
frontierswoman,10133018-n,frontiersman,10132841-n,a man who lives on the frontier
lady,10008828-n,gentleman,10146810-n,a man of refinement
laundrywoman,10788856-n,laundryman,10788752-n,operates industrial washing machine
leading lady,10271114-n,leading man,10271214-n,actor who plays the leading male role
lollipop lady,10290165-n,lollipop man,NEW,a man hired to help children cross a road safely near a school
lollipop woman,10290165-n,lollipop man,NEW,a man hired to help children cross a road safely near a school
loose woman,09792353-n,loose man,NEW,a male adulterer
Cornishwoman,09723328-n,Cornishman,09723205-n,a man who is a native or inhabitant of Cornwall
chauffeuse,09928444-n,chauffeur,09928311-n,a man paid to drive a privately owned car
clanswoman,10327942-n,clansman,10327942-n,a member of a clan
cleaning lady,09930684-n,cleaning man,NEW,a human female employed to do housework
cleaning woman,09930684-n,cleaning man,NEW,a human female employed to do housework
committeewoman,09963909-n,committeeman,09963816-n,a man who is a member of committee
congresswoman,09975260-n,congressman,09975260-n,a member of the United States House of Representatives
counterwoman,09989248-n,counterman,09989248-n,someone who attends a counter (as in a diner)
vestrywoman,10768672-n,vestryman,10768557-n,a man who is a member of a church vestry
voyeuse,92449602-n,voyeur,10780994-n,a viewer who enjoys seeing the sex acts or sex organs of others
washwoman,10788856-n,washman,NEW,a working woman who takes in washing
white woman,09662109-n,white man,09661981-n,a man who is White
widow woman,10799960-n,widowman,10800182-n,a man whose wife is dead especially one who has not remarried
woman,10807146-n,man,10306910-n,an adult person who is male (as opposed to a woman)
woman,10808492-n,man,10308177-n,a male person who plays a significant role (husband or lover or boyfriend) in the life of a particular woman
wonder woman,10809460-n,wonder man,NEW,a man who can be a succesful husband and care for his children
newspaperwoman,09986240-n,newspaperman,09986240-n,a journalist employed to provide news stories for newspapers or broadcast media
newswoman,10541446-n,newsman,10541255-n,a person who investigates and reports or edits news stories
madwoman,10299661-n,madman,10296461-n,an insane person
married woman,10800308-n,married man,10213586-n,a married man; a woman's partner in marriage
masseuse,10317938-n,masseur,10317869-n,a male massager
Englishwoman,09721229-n,Englishman,09720999-n,a man who is a native or inhabitant of England
enlisted woman,10078770-n,enlisted man,10078393-n,a male enlisted person in the armed forces
