00614907-v,"abandon, give up",stop maintaining or insisting on; of ideas or claims,stop,02686624-v,put an end to a state or an activity
00617843-v,neglect,fail to attend to,fail,02534950-v,fail to do something; leave something undone
00618547-v,"neglect, ignore, disregard",give little or no attention to,give,02321848-v,"cause to have, in the abstract sense or physical sense"
00681308-v,"choose, prefer, opt",select as an alternative over another,select,00676526-v,"pick out, select, or choose from a number of alternatives"
01084999-v,"enter, participate",become a participant; be involved in,become,00149403-v,enter or assume a certain state or condition
01096197-v,"campaign, take the field",go on a campaign; go off to war,go,01839438-v,"change location; move, travel, or proceed, also metaphorically"
01116393-v,keep up,maintain a required pace or level,maintain,02687605-v,"cause to continue in a certain state, position, or activity"
01120499-v,submit,yield to the control of another,yield,01118865-v,cease opposition; stop fighting
00258995-v,leak,have an opening that allows light or substances to enter or go out,have,02208144-v,"have or possess, either in a concrete or an abstract sense"
00415969-v,settle,form a community,form,02453050-v,create (as an entity)
02552922-v,"dishonor, disgrace, dishonour, attaint, shame",bring shame or dishonor upon,bring,01441539-v,cause to come into a particular state or condition
01339317-v,"overlay, cover",put something on top of something else,put,01496967-v,put into a certain place or abstract location
02293000-v,lose,fail to get or obtain,fail,02534950-v,fail to do something; leave something undone
00781646-v,rest,give a rest to,give,02321848-v,"cause to have, in the abstract sense or physical sense"
01008855-v,correspond,exchange messages,exchange,02262178-v,"give to, and receive from, one another"
02209474-v,"own, have, possess",have ownership or possession of,have,02208144-v,"have or possess, either in a concrete or an abstract sense"
02270824-v,"save, lay aside, save up",accumulate money for future use,accumulate,02309962-v,get or gather together
02271765-v,save,spend less; buy at a reduced price,spend,02271905-v,pay out
01814900-v,despair,abandon hope; give up hope; lose heart,give up,01085437-v,give up in the face of defeat of lacking hope; admit defeat
01817466-v,"gladden, joy",make glad or happy,make,01620211-v,make or cause to be or to become
02376443-v,keep to oneself,shun the company of others,shun,00813811-v,avoid and stay away from deliberately; stay clear of
02391408-v,take orders,be ordained; enter the Christian ministry,enter,01084999-v,become a participant; be involved in
02423521-v,"play, recreate",engage in recreational activities rather than work; occupy oneself in a diversion,engage,02380222-v,carry out or participate in an activity; be involved in
02428446-v,"give up, allow",allow the other (baseball) team to score,allow,02427979-v,make it possible through a specific action or lack of action for something to happen
02439706-v,fall in,to take one's place in a military formation or line,take,02399325-v,"assume, as of positions or roles"
02440987-v,"disorganize, disorganise",remove the organization from,remove,02410046-v,cause to leave
02449965-v,"decertify, derecognize, derecognise",cause to be no longer approved or accepted,cause,00772482-v,cause to do; cause to act in a specified manner
02483178-v,"cancel, call off, scratch, scrub",postpone indefinitely or annul something that was scheduled,postpone,02648898-v,hold back to a later time
02487489-v,"desegregate, integrate, mix",open (a place) to members of all races and ethnic groups,open,01348685-v,cause to open or to become open
02493817-v,send in,give one's name or calling card to a servant when making a formal visit,give,02204104-v,transfer possession of something concrete or abstract to somebody
02503641-v,arraign,call before a court to answer an indictment,call,00755926-v,"order, summon, or request for a specific duty or activity, work, role"
02506046-v,get it,receive punishment,receive,02113108-v,receive as a retribution or punishment
02506138-v,catch it,receive punishment; be scolded or reprimanded,receive,02113108-v,receive as a retribution or punishment
02508565-v,"reject, turn down, turn away, refuse",refuse entrance or membership,refuse,02217607-v,refuse to let have
02528887-v,"do, manage",carry on or function,carry on,02685709-v,keep or maintain in unaltered condition; cause to remain or last
02529187-v,"fail, flunk, bomb, flush it",fail to get a passing grade,fail,02534950-v,fail to do something; leave something undone
02538552-v,"experiment, try out","try something new, as in order to gain experience",try,02535833-v,make an effort or attempt
02540602-v,"woo, court",seek someone's favor,seek,02245263-v,try to get or reach
02541026-v,"take the stage, take stage",attract attention onto oneself,attract,01507886-v,direct toward itself or oneself by means of some psychological power or physical attributes
02587562-v,prosecute,bring a criminal action against (in a trial),bring,01621566-v,advance or set forth in court
02596409-v,take,develop a habit,develop,00546637-v,gain through experience
02600625-v,stampede,cause a group or mass of people to act on an impulse or hurriedly and impulsively,cause,00772482-v,cause to do; cause to act in a specified manner
02602110-v,meet,get to know; get acquainted with,get,00149403-v,enter or assume a certain state or condition
02602272-v,stag,attend a dance or a party without a female companion,attend,02618797-v,"be present at (meetings, church services, university), etc."
02603092-v,mingle,get involved or mixed-up with,get,00149403-v,enter or assume a certain state or condition
02604762-v,join,come into the company of,come,00543200-v,"reach or enter a state, relation, condition, use, or position"
02606776-v,take to,develop a habit; apply oneself to a practice or occupation,develop,00546637-v,gain through experience
02620216-v,"be, live","have life, be alive",have,02208144-v,"have or possess, either in a concrete or an abstract sense"
02621023-v,live,pursue a positive and satisfying existence,pursue,02380222-v,carry out or participate in an activity; be involved in
02625819-v,"outlive, outlast, survive",live longer than,live,02620216-v,"have life, be alive"
02648694-v,procrastinate,postpone or delay needlessly,postpone,02648898-v,hold back to a later time
02664361-v,"check, check out",be verified or confirmed; pass inspection,pass,02530710-v,go successfully through a test or a selection process
02677550-v,fall short of,"fail to satisfy, as of expectations, for example",fail,02534950-v,fail to do something; leave something undone
02679419-v,unbalance,throw out of balance or equilibrium,stop,02686624-v,put an end to a state or an activity
02687449-v,break,cause to give up a habit,cause,00772482-v,cause to do; cause to act in a specified manner
02693093-v,"roll, undulate",occur in soft rounded shapes,occur,02618403-v,to be found to exist
02719932-v,thrust,force (molten rock) into pre-existing rock,force,01875972-v,move with force
02720606-v,protuberate,cause to bulge out or project,cause,00772482-v,cause to do; cause to act in a specified manner
02726572-v,follow,to bring something about at a later time than,bring,01632781-v,cause to happen or to occur as a consequence
02747557-v,admit,give access or entrance to,give,00750978-v,allow to have or take
02747668-v,agree,show grammatical agreement,show,00925764-v,"indicate a place, direction, person, or thing; either spatially or figuratively"
02748107-v,"drive, ride",have certain properties when driven,have,02208144-v,"have or possess, either in a concrete or an abstract sense"
02748357-v,mean,have a specified degree of importance,have,02208144-v,"have or possess, either in a concrete or an abstract sense"
02750326-v,afford,have the financial means to do something or buy something,have,02208144-v,"have or possess, either in a concrete or an abstract sense"
02750526-v,open,have an opening or passage or outlet,have,02208144-v,"have or possess, either in a concrete or an abstract sense"
02769241-v,shine,throw or flash the light of (a lamp),flash,00425822-v,emit a brief burst of light
02776493-v,"thunder, boom",be the case that thunder is being heard,sound,02180712-v,make a certain noise or sound
02777127-v,"clear up, clear, light up, brighten",become clear,become,00149403-v,enter or assume a certain state or condition
01191646-v,need,have or feel a need for,have,02208144-v,"have or possess, either in a concrete or an abstract sense"
01195525-v,go,be spent,disappear,00428350-v,cease to exist
01200388-v,"metabolize, metabolise",produce by metabolism,produce,01756303-v,bring forth or yield
01203572-v,"trip, trip out, turn on, get off","get high, stoned, or drugged",experience,01775456-v,undergo an emotional sensation or be in a particular state of mind
01207951-v,go down,be ingested,disappear,00428350-v,cease to exist
01839045-v,"mire, bog down",cause to get stuck as if in a mire,cause,00772482-v,cause to do; cause to act in a specified manner
01847990-v,"visit, inspect",come to see in an official or professional capacity,come,01853188-v,"move toward, travel toward something or somebody or approach something or somebody"
01858665-v,suction,remove or draw away by the force of suction,remove,00173351-v,"remove something concrete, as by lifting, pushing, or taking off, or remove something abstract"
01872892-v,wreathe,"move with slow, sinuous movements",move,01839438-v,"change location; move, travel, or proceed, also metaphorically"
01903010-v,"call, call off",give the calls (to the dancers) for a square dance,give,02568816-v,emit or utter
01904753-v,"trip, trip up",cause to stumble,cause,00772482-v,cause to do; cause to act in a specified manner
01969163-v,"jump, leap",cause to jump or leap,cause,00772482-v,cause to do; cause to act in a specified manner
01985293-v,"down, shoot down, land",shoot at and force to come down,shoot,01139564-v,hit with a missile from a weapon
01987611-v,"bristle, uprise, stand up",rise up as in fear,rise up,01985637-v,"stand up on the hind legs, of quadrupeds"
02001544-v,back,cause to travel backward,cause,00772482-v,cause to do; cause to act in a specified manner
02013215-v,stay,remain behind,remain,02736899-v,stay behind
02039160-v,"overarch, arch over",form an arch over,form,00144670-v,assume a form or shape
02071617-v,flow,cause to flow,cause,00772482-v,cause to do; cause to act in a specified manner
02091072-v,stampede,cause to run in panic,cause,00772482-v,cause to do; cause to act in a specified manner
02091739-v,port,bring to port,bring,02081903-v,take something or somebody with oneself somewhere
02109935-v,"ascend, climb up","appear to be moving upward, as by means of tendrils",appear,02137900-v,give a certain impression of being something or having a certain aspect
01647780-v,bring on,cause to appear,cause,00772482-v,cause to do; cause to act in a specified manner
01656437-v,fruit,cause to bear fruit,cause,00772482-v,cause to do; cause to act in a specified manner
01721028-v,"play, run",cause to emit recorded audio or video,cause,00772482-v,cause to do; cause to act in a specified manner
01722190-v,"premier, premiere",be performed for the first time,appear,00426024-v,"come into being or existence, or appear on the scene"
01724519-v,enter,come on stage,come,02009962-v,reach a destination; arrive by movement or progress
01748492-v,publish,have (one's work) issued for publication,appear,00426024-v,"come into being or existence, or appear on the scene"
00015706-v,oversleep,sleep longer than intended,sleep,00014735-v,be asleep
00016695-v,nod,let the head fall forward through drowsiness,move,01835473-v,"move so as to change position, perform a nontranslational motion"
00018151-v,"get up, turn out, arise, uprise, rise",get up and out of bed,exit,02019450-v
00020442-v,keep up,prevent from going to bed at night,prevent,02455370-v,stop (someone or something) from doing something or being in a certain state
00059330-v,carry to term,carry out a pregnancy,complete,00485097-v,come or bring to a finish or an end
00077122-v,keep down,manage not to throw up,manage,02528530-v,be successful; achieve a goal
00077211-v,"gag, heave, retch",make an unsuccessful effort to vomit; strain to vomit,attempt,02535833-v
02110264-v,"record, register",be aware of,note,02122959-v,notice or perceive
02113108-v,"get, receive",receive as a retribution or punishment,receive,02214901-v,get something; come into possession of
02113245-v,"hit, strike, come to",cause to experience suddenly,cause,00772482-v,cause to do; cause to act in a specified manner
02123398-v,"note, take note, observe",observe with care or pay close attention to,watch,02133118-v,observe with attention
02125888-v,itch,cause to perceive an itch,cause,00772482-v,cause to do; cause to act in a specified manner
02129097-v,reach one's nostrils,be smelled; have a strong odor,smell,02129213-v,inhale the odor of; perceive by the olfactory sense
02129925-v,"sniff out, scent out, smell out, nose out",recognize or detect by or as if by smelling,recognize,02197640-v,detect with the senses
02134482-v,lose sight of,be no longer able to see,lose,02292634-v,"fail to keep or to maintain; cease to have, either physically or in an abstract sense"
02136428-v,watch,observe or determine by looking,observe,02460829-v,follow with the eyes or the mind
02162464-v,"film over, glaze over, blur",become glassy; lose clear vision,become,00149403-v,enter or assume a certain state or condition
02171205-v,bethink,cause oneself to consider something,cause,00772482-v,cause to do; cause to act in a specified manner
02194523-v,deafen,be unbearably loud,be,02610777-v,"have the quality of being; (copula, used with an adjective or a predicate noun)"
02201537-v,lose,allow to go out of sight or mind,allow,02427979-v,make it possible through a specific action or lack of action for something to happen
02203116-v,"surveil, follow, survey",keep under surveillance,keep,02687605-v,"cause to continue in a certain state, position, or activity"
00602773-v,"plunge, immerse",cause to be immersed,cause,00772482-v,cause to do; cause to act in a specified manner
00613035-v,"commemorate, remember","call to remembrance; keep alive the memory of someone or something, as in a ceremony",keep,02687605-v,"cause to continue in a certain state, position, or activity"
00641511-v,get,reach by calculation,reach,02024442-v,"reach a destination, either real or abstract"
00687320-v,"rule out, eliminate, winnow out, reject",dismiss from consideration or a contest,dismiss,00802592-v,bar from attention or consideration
00722732-v,"anticipate, previse, foreknow, foresee",realize beforehand,realize,00592510-v,perceive (an idea or situation) mentally
00723679-v,rake up,bring to light,bring,00135665-v,bring into a different state
00723989-v,"ferret out, ferret",search and discover through persistent investigation,discover,01641524-v,"make a discovery, make a new finding"
01085437-v,"drop out, give up, fall by the wayside, drop by the wayside, throw in, throw in the towel, quit, chuck up the sponge",give up in the face of defeat of lacking hope; admit defeat,stop,02686624-v,put an end to a state or an activity
01090246-v,"disarm, demilitarize, demilitarise",remove offensive capability from,remove,00572138-v,get rid of something abstract
01116045-v,drive in,cause a run or runner to be scored,cause,01649143-v,"give rise to; cause to happen or occur, not always intentionally"
01137797-v,trigger,release or pull the trigger on,pull,01612191-v,
01156641-v,"retire, strike out",cause to get out,cause,00772482-v,cause to do; cause to act in a specified manner
01157556-v,"overtake, catch, catch up with",catch up with and possibly overtake,move,01839438-v,"change location; move, travel, or proceed, also metaphorically"
00118572-v,"keep up, keep abreast, follow",keep informed,keep,02687605-v,"cause to continue in a certain state, position, or activity"
00224721-v,die,suffer spiritual death; be damned (in the religious sense),suffer,02113644-v,undergo or be subjected to
00307079-v,"detonate, explode, blow up",burst and release energy as through a violent chemical or physical reaction,burst,00306798-v,"burst outward, usually with noise"
00416668-v,set in,become established,become,00149403-v,enter or assume a certain state or condition
00561324-v,"fail, run out, give out",prove insufficient,prove,02639962-v,be shown or be found to be
00564177-v,reflate,"raise demand, expand the money supply, or raise prices, after a period of deflation",raise,00230031-v,increase the level of
00589392-v,"fire, light, ignite",start or maintain a fire in,start,00349400-v,"set in motion, cause to start"
00589500-v,"fire, flame up",become ignited,become,00149403-v,enter or assume a certain state or condition
01209769-v,"trap, pin, immobilize, immobilise",to hold fast or prevent from moving,hold,02446762-v,"take and maintain control over, often by violent means"
01212242-v,"feel, finger",examine by touch,examine,02135744-v,"observe, check out, and look over carefully or inspect"
01215710-v,snatch,to make grasping motions,move,01835473-v,"move so as to change position, perform a nontranslational motion"
01231088-v,break,become punctured or penetrated,become,00149403-v,enter or assume a certain state or condition
01310556-v,degrade,"reduce the level of land, as by erosion",reduce,00241924-v,reduce in size; reduce physically
01330694-v,catch,"cause to become accidentally or suddenly caught, ensnared, or entangled",cause,00772482-v,cause to do; cause to act in a specified manner
01491476-v,overload,become overloaded,become,00149403-v,enter or assume a certain state or condition
01529271-v,"idle, tick over",run disconnected or idle,run,01529078-v,"be operating, running or functioning"
01533912-v,"entrench, dig in",occupy a trench or secured area,occupy,02655144-v,occupy the whole of
01545450-v,"hang, fall, flow",fall or flow in a certain way,move,01839438-v,"change location; move, travel, or proceed, also metaphorically"
01545624-v,trail,hang down so as to drag along the ground,hang,01484705-v,be suspended or hanging
01613738-v,cut,make an incision or separation,make,01620211-v,make or cause to be or to become
01614650-v,spread,distribute over a surface in a layer,distribute,02047080-v,cause to be distributed
01618895-v,"put away, put aside",stop using,stop,02686624-v,put an end to a state or an activity
00801045-v,"retreat, pull back, back out, back away, crawfish, crawfish out, pull in one's horns, withdraw",make a retreat from an earlier commitment or activity,stop,00363001-v,prevent completion
00803288-v,"dismiss, throw out",cease to consider; put out of judicial consideration,stop,00363001-v,prevent completion
00894444-v,"apologize, apologise",acknowledge faults or shortcomings or failing,acknowledge,00893988-v,"express obligation, thanks, or gratitude for"
00939649-v,"keep quiet, shut one's mouth, keep one's mouth shut",refrain from divulging sensitive information; keep quiet about confidential information,refrain,02731589-v,resist doing something
00952369-v,take a dare,be dared to do something and not attempt it,take,00671680-v,"accept or undergo, often unwillingly"
00991522-v,take the floor,rise in order to make a speech or motion,rise,01987278-v,rise to one's feet
01011848-v,say,state as one's opinion or judgement; declare,state,01011267-v,express in words
01022740-v,"complete, fill out, fill in, make out",write all the required information onto a form,write,00995046-v,communicate or express by writing
01042933-v,"close up, clam up, dummy up, shut up, belt up, button up, be quiet, keep mum",refuse to talk or stop talking; fall silent,refrain,02731589-v,resist doing something
01068455-v,"confront, face, present","present somebody with something, usually to accuse or criticize",present,02728538-v,offer for others to consider
02205920-v,take,"to get into a position of having, e.g., safety, comfort",get,00149403-v,enter or assume a certain state or condition
02252172-v,"fetch, bring in, bring",be sold for a certain price,sell,02733758-v,be sold at a certain price or in a certain way
02253273-v,"find, happen, chance, bump, encounter","come upon, as if by accident; meet with",meet,02026953-v,come together
02284863-v,break even,make neither profit nor loss,make,01620211-v,make or cause to be or to become
02293733-v,"lose, turn a loss",fail to make money in a business; make a loss or fail to profit,fail,02534950-v,fail to do something; leave something undone
02320918-v,inherit,receive from a predecessor,receive,02214901-v,get something; come into possession of
02323383-v,fail,become bankrupt or insolvent; fail financially and close,become,00149403-v,enter or assume a certain state or condition
02363033-v,"afford, open, give",afford access to,give,02321848-v,"cause to have, in the abstract sense or physical sense"
02363654-v,fall,to be given by assignment or distribution,receive,02214901-v,get something; come into possession of
02363921-v,fall,to be given by right or inheritance,receive,02214901-v,get something; come into possession of
02368741-v,check out,"record, add up, and receive payment for items purchased",pay,02256551-v,"give money, usually in exchange for goods or services"
01777456-v,"embitter, envenom, acerbate",cause to be bitter or resentful,cause,00772482-v,cause to do; cause to act in a specified manner
01777655-v,grudge,accept or admit unwillingly,admit,00818972-v,declare to be true or admit the existence or reality or truth of
01779986-v,cling,to remain emotionally or intellectually attached,remain,02733337-v,"continue in a place, position, or situation"
01800811-v,"repent, atone",turn away from sin or do penitence,reject,00687584-v,not accept something given or offered
01822083-v,rise,become heartened or elated,become,00149403-v,enter or assume a certain state or condition
01825834-v,"bore, tire",cause to be bored,cause,00772482-v,cause to do; cause to act in a specified manner
01827099-v,"care a hang, give a hoot, give a hang, give a damn",show no concern or interest; always used in the negative,show,00945869-v,give expression to
01830665-v,"hope, trust, desire",expect and wish,expect,00721987-v,look forward to the probable occurrence of
90003391-v,fangirl,to be a extreme female fan of something,love,01779085-v,have a great affection or liking for

